PtID C2O1O1_Q00 C2O1O1_Q10 C2O1O1_Q20 O1C2O1_Q00 O1C2O1_Q10 O1C2O1_Q20 aiESP
Pt:-2.078702_-1.133841_-1.133841_co2 0.153551723645 0.0232039225076 0.0034494492581 0.346585470511 -0.0390140186408 0.0126309824185 -0.0120381
Pt:-2.078702_-1.133841_1.133829_co2 0.153557023484 0.0232063252412 0.00345016956343 0.346606001303 -0.0390255890825 0.0126365540508 -0.0120426
Pt:-2.078702_-1.133841_1.889719_co2 0.151530776444 0.0222997433427 0.00318285730478 0.338921935961 -0.0348518471996 0.0106881919393 -0.010392
Pt:-2.078702_-1.133841_2.645609_co2 0.148635590697 0.0210458155163 0.00282805341814 0.328473513828 -0.0296662031525 0.00844290908618 -0.00836253
Pt:-2.078702_-1.133841_3.401499_co2 0.145020997951 0.019547444422 0.00242723819341 0.316194231282 -0.024256719728 0.00631576618815 -0.00632017
Pt:-2.078702_-0.377951_-4.157401_co2 0.141687792902 0.0182303339664 0.00209620144872 0.305518534788 -0.0201196668747 0.00484361573971 -0.00484042
Pt:-2.078702_-0.377951_-3.401511_co2 0.14593594667 0.0199197625842 0.00252444936001 0.319228895754 -0.0255271411262 0.00679508350813 -0.00679038
Pt:-2.078702_-0.377951_-2.645621_co2 0.14962441349 0.0214686483283 0.00294574250427 0.331976238845 -0.0313432854412 0.00914738737595 -0.00901355
Pt:-2.078702_-0.377951_-1.889731_co2 0.152582392956 0.0227672503928 0.00331958389113 0.342869236363 -0.0369568713608 0.011655370397 -0.0112247
Pt:-2.078702_-0.377951_1.889719_co2 0.152591060082 0.0227711303524 0.00332072863145 0.342902127997 -0.0369747561779 0.0116637233434 -0.0112317
Pt:-2.078702_-0.377951_2.645609_co2 0.149635855704 0.0214735740151 0.00294712525483 0.332017158427 -0.0313632388461 0.00915589481712 -0.0090213
Pt:-2.078702_-0.377951_3.401499_co2 0.145949597062 0.019925352804 0.00252592103808 0.319274532849 -0.0255465739197 0.00680251298588 -0.00679759
